Majors,Terms in Attendance
Economics BA,8
Letters & Sci Undeclared UG,6
Industrial Eng & Ops Rsch MEng,G
Letters & Sci Undeclared UG,6
Mechanical Engineering BS,4
Industrial Eng & Ops Rsch BS,6
Letters & Sci Undeclared UG,4
Economics BA,8
Molecular & Cell Biology BA,6
Data Science BA,6
MCB-Biochem & Mol Biol BA,8
Political Science BA,4
Letters & Sci Undeclared UG,6
"Computer Science BA, Public Health BA",8
Computer Science BA,6
Chemical Engineering BS,6
Economics BA,6
Letters & Sci Undeclared UG,7
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,6
Computer Science BA,6
Computer Science BA,3
Letters & Sci Undeclared UG,4
"Civil Engineering BS, Computer Science BA",6
Letters & Sci Undeclared UG,4
Psychology BA,6
Computer Science BA,6
"Genetics & Plant Biology BS, Letters & Sci Undeclared UG",8
Electrical Eng & Comp Sci BS,4
Business Administration BS,8
Political Economy BA,8
"CNR Undeclared UG, Cognitive Science BA",8
Computer Science BA,6
Electrical Eng & Comp Sci BS,6
Environ Econ & Policy BS,6
Economics BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Philosophy BA,6
Letters & Sci Undeclared UG,4
Data Science BA,6
Materials Science & Eng BS,8
Letters & Sci Undeclared UG,2
Applied Mathematics BA,8
Electrical Eng & Comp Sci BS,4
Economics BA,8
Letters & Sci Undeclared UG,6
Chemical Biology BS,8
Social Welfare BA,7
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Economics BA,4
Bioengineering BS,8
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Elec Eng & Comp Sci 5th Yr MS,G
"Business Administration BS, Electrical Eng & Comp Sci BS",6
Political Science PhD,G
"Economics BA, Environ Econ & Policy BS",8
"Energy & Resources MS-MPP CDP, Public Policy MPP-ERG MS CDP",G
"CNR Undeclared UG, Letters & Sci Undeclared UG",6
Computer Science BA,8
Data Science BA,4
Cognitive Science BA,6
Materials Science & Eng BS,8
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Data Science BA,6
Chemical Biology BS,8
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci MEng,G
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Letters & Sci Undeclared UG, Sustainable Environ Dsgn BA",6
Letters & Sci Undeclared UG,8
Letters & Sci Undeclared UG,8
Economics BA,6
Applied Mathematics BA,6
"Molecular & Cell Biology BA, Public Health BA",6
Letters & Sci Undeclared UG,4
Computer Science BA,6
Letters & Sci Undeclared UG,4
"Env Sci, Policy, & Mgmt PhD",G
Economics BA,4
Molecular & Cell Biology BA,8
Civil Engineering BS,4
Mechanical Engineering PhD,G
Cognitive Science BA,8
Development Practice MDP,G
Civil Engineering BS,6
Computer Science BA,4
Electrical Eng & Comp Sci MEng,G
Cognitive Science BA,4
Industrial Eng & Ops Rsch BS,6
Electrical Eng & Comp Sci MEng,G
"Business Administration BS, Electrical Eng & Comp Sci BS",8
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,6
Computer Science BA,4
Letters & Sci Undeclared UG,6
Materials Science & Eng BS,6
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Bioengineering BS,8
Letters & Sci Undeclared UG,4
Public Policy MPP,G
Letters & Sci Undeclared UG,4
Economics BA,8
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Media Studies BA,4
Data Science BA,6
Civil Engineering BS,8
Computer Science BA,4
Letters & Sci Undeclared UG,2
Electrical Eng & Comp Sci BS,4
"Molecular & Cell Biology BA, Public Health BA",6
Molecular & Cell Biology BA,8
Chemical Engineering BS,4
"Astrophysics BA, Physics BA",8
Letters & Sci Undeclared UG,4
